gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
tet(32),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,22.19,0.38,,10000000,1.2,0.08
tet(40),sample-9,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,24,77.72,2.82,,10000000,4.81,0.57
tet(m),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,15.52,0.31,,10000000,0.8,0.06
tet(o),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,39.6875,98.03,Anaerostipes hadrus (chromosome or plasmid),32,75,2.07,Anaerostipes hadrus (chromosome): 1; Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,6.41,0.41
tet(o/32/o),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,12,40.62,0.89,,10000000,2.41,0.18
tet(o/m/o),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,12.71,0.16,,10000000,0.4,0.03
tet(o/w),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,27,34.06,2.09,,10000000,5.41,0.42
tet(o/w/32/o),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,73,58.33,5.24,Streptococcus suis (chromosome): 1; Anaerostipes hadrus (chromosome): 1; Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,14.63,1.05
tet(o/w/o),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,8.33,0.38,,10000000,1.2,0.08
tet(q),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,93.0091,31.03,,5,26.65,0.35,,10000000,1,0.07
tet(s),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,9.5,0.16,,10000000,0.4,0.03
tet(w),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.28,Unknown taxonomy (chromosome),286,100,20.67,Trueperella pyogenes (chromosome): 1; ,10000000,57.33,4.14
tet(w/32/o),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,1,7.81,0.08,,10000000,0.2,0.02
tet(w/n/w),sample-9,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,35.1562,81.78,Collinsella aerofaciens (no genomic info),70,30.05,5.39,Trueperella pyogenes (chromosome): 2; ,10000000,14.03,1.08
tet(x),sample-9,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,13,59.81,1.26,,10000000,2.61,0.25
teta(46),sample-9,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,10.26,0.17,,10000000,0.4,0.03
vant gene in vang cluster,sample-9,glycopeptide resistance gene cluster; vanT,glycopeptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.439,97.04,Streptococcus agalactiae (chromosome),160,98.04,10.73,Streptococcus agalactiae (chromosome): 9; ,10000000,32.07,2.15
vanxy gene in vang cluster,sample-9,glycopeptide resistance gene cluster; vanXY,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,7,27.97,0.12,,10000000,1.4,0.02
aac(3)-iid,sample-8,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,14.63,0.29,,10000000,0.77,0.11
acrb,sample-8,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4,13.81,0.19,,10000000,1.53,0.07
acrd,sample-8,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,7,33.53,0.34,,10000000,2.69,0.13
acre,sample-8,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,3,38.86,0.39,,10000000,1.15,0.15
acrf,sample-8,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,6,21.13,0.14,,10000000,2.3,0.05
acrs,sample-8,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,45.25,0.45,,10000000,0.77,0.17
aph(3')-iiia,sample-8,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,32.7,0.38,,10000000,0.77,0.15
arr-3,sample-8,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,54.97,0.55,,10000000,0.77,0.21
baes,sample-8,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,5,22.44,0.21,,10000000,1.92,0.08
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-8,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,145,73.38,2.21,Bifidobacterium longum (chromosome): 2; ,10000000,55.64,0.85
bifidobacterium bifidum iles conferring resistance to mupirocin,sample-8,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,3,11.13,0.14,,10000000,1.15,0.05
cbla-1,sample-8,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,8,80.47,1.31,,10000000,3.07,0.5
cfxa2,sample-8,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100,Unknown taxonomy (chromosome or plasmid),43,100,5.8,,10000000,16.5,2.23
cfxa6,sample-8,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,3,31.02,0.3,,10000000,1.15,0.12
dfrf,sample-8,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,30.3,0.61,,10000000,0.77,0.23
emra,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,3,27.28,0.38,,10000000,1.15,0.15
emry,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,19.04,0.19,,10000000,0.77,0.07
epta,sample-8,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,1,3.83,0.04,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.38,0.02
ermb,sample-8,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,98.3936,98.37,Unknown taxonomy (chromosome or plasmid),51,100,9.3,Streptococcus pyogenes (chromosome or plasmid): 1; Enterococcus faecalis (chromosome or plasmid): 1; ,10000000,19.57,3.57
ermf,sample-8,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,6,73.03,0.99,Bacteroides ovatus (chromosome or plasmid): 1; ,10000000,2.3,0.38
ermg,sample-8,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,81.2245,100,Unknown taxonomy (chromosome),15,93.06,2.36,Bacteroides ovatus (chromosome): 1; ,10000000,5.76,0.91
escherichia coli mdfa,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4,37.63,0.43,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.53,0.16
evga,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,47.15,0.49,,10000000,0.77,0.19
h-ns,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,4,37.44,0.22,,10000000,1.53,0.08
kdpe,sample-8,kdpDE,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,4,47.49,0.22,,10000000,1.53,0.08
klebsiella pneumoniae kpnh,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,antibiotic efflux,protein homolog,0,,,,,2,10.79,0.08,,10000000,0.77,0.03
lnuc,sample-8,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,30.1,0.36,,10000000,0.77,0.14
mdta,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,4,28.77,0.33,,10000000,1.53,0.13
mdtb,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,8,21.9,0.19,,10000000,3.07,0.07
mdte,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,2,20.38,0.26,,10000000,0.77,0.1
mdtf,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,9,37.15,0.42,Escherichia coli (chromosome): 2; ,10000000,3.45,0.16
mdth,sample-7,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,1,7.2,0.07,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.38,0.03
mdtm,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,24.33,0.24,,10000000,0.77,0.09
mdtn,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,29.07,0.29,,10000000,0.77,0.11
mdto,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,7,41.08,0.51,Escherichia coli (chromosome): 1; ,10000000,2.69,0.2
mdtp,sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,5,40.56,0.5,,10000000,1.92,0.19
mef(en2),sample-10,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,5,47.26,0.62,,10000000,1.92,0.24
mel,sample-8,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,23,91.87,2.51,Clostridioides difficile (chromosome): 2; Parabacteroides distasonis (chromosome): 1; Parabacteroides distasonis (plasmid): 4; Streptococcus (chromosome): 2; ,10000000,8.82,0.96
mpha,sample-8,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,9,89.18,1.46,,10000000,3.45,0.56
msba,sample-8,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,2,9.15,0.17,Escherichia coli (chromosome): 2; ,10000000,0.77,0.07
pmra,sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,14.25,0.25,,10000000,0.77,0.1
rpob2,sample-8,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,10,15.59,0.04,,10000000,3.84,0.02
sat-4,sample-8,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,76.43,1.05,,10000000,1.53,0.4
tem-243,sample-8,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,2,25.2,0.35,,10000000,0.77,0.13
tet(32),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,8,35.36,0.4,Bifidobacterium longum (chromosome): 1; ,10000000,3.07,0.15
tet(40),sample-8,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,16,87.63,1.73,Faecalibacterium prausnitzii (chromosome): 2; ,10000000,6.14,0.66
tet(m),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,18.02,0.14,,10000000,1.53,0.05
tet(o),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,80.7812,98.84,Unknown taxonomy (chromosome or plasmid),62,100,4.32,Streptococcus suis (chromosome or plasmid): 3; Enterococcus faecium (chromosome or plasmid): 1; ,10000000,23.79,1.66
tet(o/32/o),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,9.27,0.16,,10000000,0.77,0.06
tet(o/m/o),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,9.69,0.19,,10000000,1.15,0.07
tet(o/w),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,26,39.01,1.82,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,9.98,0.7
tet(o/w/32/o),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,20.42,0.23,,10000000,1.15,0.09
tet(q),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,97.4164,96.57,Unknown taxonomy (chromosome),226,100,16.12,Bacteroides fragilis (chromosome): 15; Parabacteroides distasonis (chromosome): 1; ,10000000,86.71,6.19
tet(w),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.37,Unknown taxonomy (chromosome),300,100,21.47,Ruthenibacterium lactatiformans (chromosome): 4; Bifidobacterium longum (chromosome): 3; Faecalibacterium prausnitzii (chromosome): 1; ,10000000,115.11,8.24
tet(w/32/o),sample-8,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,7,17.29,0.39,Trueperella pyogenes (chromosome): 1; ,10000000,2.69,0.15
tet(x),sample-8,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,15,92.89,1.82,,10000000,5.76,0.7
tolc,sample-8,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4,31.25,0.4,,10000000,1.53,0.15
yoji,sample-8,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,8,33.39,0.73,,10000000,3.07,0.28
yrc-1,sample-8,YRC Beta-lactamase,cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1,1.48,0.01,,10000000,0.38,0
aad(6),sample-7,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,50.42,0.72,,10000000,1.5,0.27
acrb,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,7.21,0.1,,10000000,0.75,0.04
acrf,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,3,12.72,0.1,,10000000,1.13,0.04
aph(3')-iiia,sample-7,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,79.37,1.06,,10000000,2.26,0.4
baca,sample-7,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,1,7.18,0.07,,10000000,0.38,0.03
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-7,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,190,54.34,2.4,,10000000,71.47,0.9
cbla-1,sample-7,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,6,65.88,0.86,,10000000,2.26,0.32
cfxa5,sample-7,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,25,93.27,3.45,,10000000,9.4,1.3
cgb-1,sample-7,CGB beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1,2.33,0.02,,10000000,0.38,0.01
ermb,sample-7,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,98.3936,98.37,Unknown taxonomy (chromosome or plasmid),69,99.87,12.85,,10000000,25.95,4.83
ermf,sample-7,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,18,94.51,2.84,Bacteroides (no genomic information): 1; ,10000000,6.77,1.07
ermg,sample-7,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,3,33.06,0.49,,10000000,1.13,0.18
lnuc,sample-7,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,72.53,1,,10000000,1.5,0.38
mdtc,sample-7,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,3,14.23,0.1,,10000000,1.13,0.04
mdtp,sample-7,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,20.45,0.2,,10000000,0.75,0.08
mef(en2),sample-7,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,10,53.9,1.17,,10000000,3.76,0.44
mel,sample-7,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,28,100,3.15,Parabacteroides distasonis (chromosome): 1; Clostridioides difficile (chromosome): 1; Parabacteroides distasonis (plasmid): 8; Streptococcus (chromosome): 1; ,10000000,10.53,1.18
pata,sample-7,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,3,1.53,0.01,,10000000,1.13,0
rpob2,sample-7,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,14,12.07,0.06,,10000000,5.27,0.02
sat-4,sample-7,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,82.8729,100,Unknown taxonomy (chromosome or plasmid),12,94.84,2.54,,10000000,4.51,0.96
tet(32),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,15,52.5,0.79,Bifidobacterium longum (chromosome): 2; ,10000000,5.64,0.3
tet(40),sample-7,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,25,94.02,2.83,,10000000,9.4,1.06
tet(o),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,18,75.73,1.41,Anaerostipes hadrus (chromosome or plasmid): 2; ,10000000,6.77,0.53
tet(o/m/o),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,13.12,0.13,Streptococcus suis (chromosome or plasmid): 1; ,10000000,0.75,0.05
tet(o/w),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,34,65,2.56,Ruthenibacterium lactatiformans (chromosome): 4; Streptococcus suis (chromosome or plasmid): 1; Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,12.79,0.96
tet(o/w/32/o),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,16,26.67,1.24,Bifidobacterium breve (chromosome): 2; ,10000000,6.02,0.47
tet(o/w/o),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,14.74,0.25,,10000000,1.5,0.09
tet(q),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,97.4164,97.19,Unknown taxonomy (chromosome),97,100,6.46,Bacteroides fragilis (chromosome): 2; ,10000000,36.49,2.43
tet(w),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,93.5938,99.83,Unknown taxonomy (chromosome),350,100,25.56,Faecalibacterium prausnitzii (chromosome): 3; Ruthenibacterium lactatiformans (chromosome): 1; Bifidobacterium longum (chromosome): 1; ,10000000,131.66,9.61
tet(w/32/o),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,18.85,0.23,,10000000,1.13,0.09
tet(w/n/w),sample-7,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,50,57.71,3.83,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,18.81,1.44
tet(x),sample-7,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,14,71.12,1.67,,10000000,5.27,0.63
vanr gene in vang cluster,sample-7,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,7,52.4,0.21,,10000000,2.63,0.08
vanw gene in vang cluster,sample-7,vanW; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,43.03,0.35,,10000000,1.5,0.13
vanxy gene in vang cluster,sample-7,glycopeptide resistance gene cluster; vanXY,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,5,30.72,0.26,,10000000,1.88,0.1
yoji,sample-7,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,2,15.27,0.18,,10000000,0.75,0.07
aad(6),sample-5,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,29.84,0.69,,10000000,1.58,0.27
aph(3')-iiia,sample-5,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,73.84,1.04,,10000000,2.37,0.41
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-5,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,103,50.27,1.28,,10000000,40.69,0.51
cbla-1,sample-5,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,25,91.69,3.27,,10000000,9.88,1.29
cfxa2,sample-5,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,66,100,8.66,,10000000,26.07,3.42
cfxa5,sample-5,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100,Parabacteroides distasonis (chromosome or plasmid),6,41.41,0.9,Parabacteroides distasonis (chromosome or plasmid): 5; ,10000000,2.37,0.36
cfxa6,sample-5,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,4,34.34,0.15,,10000000,1.58,0.06
emrr,sample-5,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,54.05,0.56,,10000000,0.79,0.22
ermb,sample-5,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,11,84.34,2.07,Enterococcus faecalis (chromosome or plasmid): 1; ,10000000,4.35,0.82
ermf,sample-5,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,35,97.5,5.07,Bacteroides ovatus (chromosome or plasmid): 1; Bacteroides (chromosome or plasmid): 1; ,10000000,13.83,2
ermg,sample-5,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,22,96.87,3.02,Bacteroides ovatus (chromosome): 2; ,10000000,8.69,1.19
kamb,sample-5,16S rRNA methyltransferase (A1408),aminoglycoside antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,5.56,0.04,,10000000,1.58,0.02
lnuc,sample-5,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,57.17,0.57,,10000000,0.79,0.23
